time	V(boot0_mos)	V(boot0_mos_adapted)	V(nrst_mos)	V(nrst_mos_adapted)
0.000000000000000e+000	1.963824e-008	2.142422e-008	3.300000e+000	3.280000e+000
1.021499999999998e+000	1.963824e-008	2.142422e-008	3.300000e+000	3.280000e+000
2.045499999999886e+000	1.963824e-008	2.142422e-008	3.300000e+000	3.280000e+000
2.835000000000000e+000	1.963824e-008	2.142422e-008	3.300000e+000	3.280000e+000
2.835000000598485e+000	1.963824e-008	2.142422e-008	3.300000e+000	3.280000e+000
2.835000000598768e+000	1.963847e-008	2.142454e-008	3.300000e+000	3.280000e+000
2.835000000599062e+000	1.963874e-008	2.142494e-008	3.300000e+000	3.280000e+000
2.835000000599386e+000	1.963905e-008	2.142539e-008	3.300000e+000	3.280000e+000
2.835000000599827e+000	1.963949e-008	2.142602e-008	3.300000e+000	3.280000e+000
2.835000000600500e+000	1.964016e-008	2.142699e-008	3.300000e+000	3.280000e+000
2.835000000601633e+000	1.964129e-008	2.142862e-008	3.300000e+000	3.280000e+000
2.835000000603096e+000	1.964276e-008	2.143073e-008	3.300000e+000	3.280000e+000
2.835000000605012e+000	1.964467e-008	2.143349e-008	3.300000e+000	3.280000e+000
2.835000000607342e+000	1.964700e-008	2.143685e-008	3.300000e+000	3.280000e+000
2.835000000610276e+000	1.964994e-008	2.144108e-008	3.300000e+000	3.280000e+000
2.835000000613666e+000	1.965332e-008	2.144597e-008	3.300000e+000	3.280000e+000
2.835000000618013e+000	1.965767e-008	2.145224e-008	3.300000e+000	3.280000e+000
2.835000000623299e+000	1.966296e-008	2.145986e-008	3.300000e+000	3.280000e+000
2.835000000630214e+000	1.966987e-008	2.146983e-008	3.300000e+000	3.280000e+000
2.835000000639160e+000	1.967882e-008	2.148272e-008	3.300000e+000	3.280000e+000
2.835000000651585e+000	1.969124e-008	2.150064e-008	3.300000e+000	3.280000e+000
2.835000000669556e+000	1.970921e-008	2.152654e-008	3.300001e+000	3.280000e+000
2.835000000698767e+000	1.973842e-008	2.156866e-008	3.300002e+000	3.280000e+000
2.835000000754428e+000	1.979408e-008	2.164890e-008	3.300004e+000	3.280000e+000
2.835000000865750e+000	1.990538e-008	2.180937e-008	3.300010e+000	3.280001e+000
2.835000001000000e+000	2.003959e-008	2.200288e-008	3.300022e+000	3.280002e+000
2.835000001049901e+000	2.008948e-008	2.207480e-008	3.300027e+000	3.280002e+000
2.835000001116435e+000	2.015599e-008	2.217069e-008	3.300035e+000	3.280003e+000
2.835000001249505e+000	2.028900e-008	2.236246e-008	3.300053e+000	3.280005e+000
2.835000001515643e+000	2.055497e-008	2.274595e-008	3.300100e+000	3.280009e+000
2.835000002047919e+000	2.108676e-008	2.351271e-008	3.300231e+000	3.280021e+000
2.835000003112472e+000	2.214971e-008	2.504536e-008	3.300617e+000	3.280054e+000
2.835000004353896e+000	2.338818e-008	2.683121e-008	3.301229e+000	3.280102e+000
2.835000005932185e+000	2.496105e-008	2.909939e-008	3.302181e+000	3.280167e+000
2.835000007100499e+000	2.612415e-008	3.077676e-008	3.302974e+000	3.280204e+000
2.835000008649319e+000	2.766448e-008	3.299831e-008	3.304094e+000	3.280216e+000
2.835000009929602e+000	2.893640e-008	3.483283e-008	3.305057e+000	3.280185e+000
2.835000011208459e+000	3.020569e-008	3.666362e-008	3.306035e+000	3.280117e+000
2.835000012675240e+000	3.166000e-008	3.876137e-008	3.307164e+000	3.279996e+000
2.835000014098902e+000	3.307004e-008	4.079533e-008	3.308259e+000	3.279840e+000
2.835000016003180e+000	3.495376e-008	4.351264e-008	3.309712e+000	3.279582e+000
2.835000018692538e+000	3.760956e-008	4.734382e-008	3.311728e+000	3.279133e+000
2.835000021768005e+000	4.064016e-008	5.171585e-008	3.313970e+000	3.278512e+000
2.835000025249603e+000	4.406268e-008	5.665345e-008	3.316421e+000	3.277682e+000
2.835000027247623e+000	4.602284e-008	5.948140e-008	3.317785e+000	3.277149e+000
2.835000028191141e+000	4.694747e-008	6.081542e-008	3.318419e+000	3.276884e+000
2.835000029370656e+000	4.810248e-008	6.248181e-008	3.319201e+000	3.276545e+000
2.835000030708066e+000	4.941090e-008	6.436957e-008	3.320074e+000	3.276152e+000
2.835000031797203e+000	5.047548e-008	6.590554e-008	3.320776e+000	3.275827e+000
2.835000033092881e+000	5.174084e-008	6.773122e-008	3.321599e+000	3.275437e+000
2.835000034074394e+000	5.269860e-008	6.911311e-008	3.322214e+000	3.275139e+000
2.835000035252444e+000	5.384722e-008	7.077043e-008	3.322943e+000	3.274781e+000
2.835000036321896e+000	5.488911e-008	7.227376e-008	3.323597e+000	3.274453e+000
2.835000037689560e+000	5.622035e-008	7.419464e-008	3.324420e+000	3.274033e+000
2.835000039174642e+000	5.766438e-008	7.627833e-008	3.325299e+000	3.273575e+000
2.835000041447390e+000	5.987130e-008	7.946297e-008	3.326609e+000	3.272872e+000
2.835000044925434e+000	6.324161e-008	8.432675e-008	3.328501e+000	3.271791e+000
2.835000048417249e+000	6.661681e-008	8.919801e-008	3.330146e+000	3.270703e+000
2.835000052863450e+000	7.090233e-008	9.538379e-008	3.331349e+000	3.269314e+000
2.835000057849718e+000	7.569230e-008	1.022987e-007	3.330300e+000	3.267753e+000
2.835000062856501e+000	8.048497e-008	1.092186e-007	3.325340e+000	3.266184e+000
2.835000066453945e+000	8.391813e-008	1.141764e-007	3.318844e+000	3.265056e+000
2.835000068528912e+000	8.589439e-008	1.170305e-007	3.313882e+000	3.264405e+000
2.835000069190811e+000	8.652420e-008	1.179402e-007	3.312107e+000	3.264197e+000
2.835000070024488e+000	8.731703e-008	1.190853e-007	3.309734e+000	3.263936e+000
2.835000070307921e+000	8.758648e-008	1.194745e-007	3.308893e+000	3.263847e+000
2.835000070566818e+000	8.783255e-008	1.198299e-007	3.308109e+000	3.263766e+000
2.835000070828755e+000	8.808146e-008	1.201894e-007	3.307301e+000	3.263684e+000
2.835000071120003e+000	8.835818e-008	1.205891e-007	3.306384e+000	3.263592e+000
2.835000071409325e+000	8.863301e-008	1.209861e-007	3.305455e+000	3.263501e+000
2.835000071796802e+000	8.900099e-008	1.215176e-007	3.304183e+000	3.263380e+000
2.835000072180133e+000	8.936494e-008	1.220433e-007	3.302892e+000	3.263260e+000
2.835000072600639e+000	8.976407e-008	1.226199e-007	3.301439e+000	3.263128e+000
2.835000073067218e+000	9.020679e-008	1.232594e-007	3.299783e+000	3.262981e+000
2.835000073574071e+000	9.068756e-008	1.239539e-007	3.297930e+000	3.262822e+000
2.835000074217683e+000	9.129782e-008	1.248355e-007	3.295498e+000	3.262620e+000
2.835000075100719e+000	9.213464e-008	1.260444e-007	3.292019e+000	3.262343e+000
2.835000076238876e+000	9.321247e-008	1.276015e-007	3.287293e+000	3.261986e+000
2.835000077318416e+000	9.423401e-008	1.290774e-007	3.282563e+000	3.261648e+000
2.835000078477809e+000	9.533026e-008	1.306613e-007	3.277218e+000	3.261284e+000
2.835000079586138e+000	9.637740e-008	1.321743e-007	3.271856e+000	3.260936e+000
2.835000080898564e+000	9.761634e-008	1.339646e-007	3.265193e+000	3.260525e+000
2.835000082367117e+000	9.900133e-008	1.359660e-007	3.257344e+000	3.260064e+000
2.835000084207216e+000	1.007348e-007	1.384711e-007	3.246938e+000	3.259487e+000
2.835000086372491e+000	1.027717e-007	1.414151e-007	3.233908e+000	3.258808e+000
2.835000089095765e+000	1.053293e-007	1.451120e-007	3.216369e+000	3.257955e+000
2.835000092428121e+000	1.084526e-007	1.496271e-007	3.193259e+000	3.256910e+000
2.835000096347745e+000	1.121173e-007	1.549259e-007	3.163923e+000	3.255682e+000
2.835000101001082e+000	1.164557e-007	1.611998e-007	3.126343e+000	3.254224e+000
2.835000106455219e+000	1.215240e-007	1.685309e-007	3.078907e+000	3.252517e+000
2.835000112939652e+000	1.275268e-007	1.772159e-007	3.018383e+000	3.250487e+000
2.835000120592743e+000	1.345807e-007	1.874244e-007	2.942099e+000	3.248094e+000
2.835000129713315e+000	1.429462e-007	1.995341e-007	2.845614e+000	3.245244e+000
2.835000140532491e+000	1.528163e-007	2.138253e-007	2.725022e+000	3.241866e+000
2.835000153484255e+000	1.645643e-007	2.308386e-007	2.574120e+000	3.237828e+000
2.835000169008330e+000	1.785634e-007	2.511141e-007	2.386585e+000	3.232993e+000
2.835000187824112e+000	1.954360e-007	2.755524e-007	2.152793e+000	3.227143e+000
2.835000210706661e+000	2.158516e-007	3.051252e-007	1.862537e+000	3.220043e+000
2.835000227039542e+000	2.303699e-007	3.261589e-007	1.652724e+000	3.214985e+000
2.835000232397645e+000	2.351243e-007	3.330478e-007	1.583907e+000	3.213328e+000
2.835000237164711e+000	2.393514e-007	3.391731e-007	1.523274e+000	3.211854e+000
2.835000243475268e+000	2.449437e-007	3.472773e-007	1.444770e+000	3.209903e+000
2.835000248101968e+000	2.490416e-007	3.532163e-007	1.388826e+000	3.208474e+000
2.835000254960334e+000	2.551128e-007	3.620164e-007	1.308858e+000	3.206357e+000
2.835000261284851e+000	2.607084e-007	3.701279e-007	1.238441e+000	3.204406e+000
2.835000268110305e+000	2.667443e-007	3.788788e-007	1.166122e+000	3.202301e+000
2.835000275665490e+000	2.734222e-007	3.885619e-007	1.090514e+000	3.199974e+000
2.835000279541754e+000	2.768472e-007	3.935287e-007	1.053515e+000	3.198780e+000
2.835000282803845e+000	2.797289e-007	3.977079e-007	1.023303e+000	3.197776e+000
2.835000286010941e+000	2.825615e-007	4.018162e-007	9.944100e-001	3.196789e+000
2.835000289460461e+000	2.856077e-007	4.062346e-007	9.642106e-001	3.195728e+000
2.835000293341202e+000	2.890341e-007	4.112048e-007	9.312996e-001	3.194534e+000
2.835000296921979e+000	2.921952e-007	4.157903e-007	9.019095e-001	3.193433e+000
2.835000300672191e+000	2.955053e-007	4.205923e-007	8.721089e-001	3.192281e+000
2.835000304224574e+000	2.986403e-007	4.251406e-007	8.447821e-001	3.191190e+000
2.835000307983163e+000	3.019567e-007	4.299526e-007	8.167986e-001	3.190035e+000
2.835000311766655e+000	3.052947e-007	4.347961e-007	7.895685e-001	3.188874e+000
2.835000315895513e+000	3.089369e-007	4.400813e-007	7.608949e-001	3.187607e+000
2.835000320277520e+000	3.128018e-007	4.456902e-007	7.316149e-001	3.186263e+000
2.835000325212880e+000	3.171541e-007	4.520069e-007	7.000062e-001	3.184749e+000
2.835000330708575e+000	3.219998e-007	4.590403e-007	6.664465e-001	3.183065e+000
2.835000337142456e+000	3.276717e-007	4.672737e-007	6.292477e-001	3.181095e+000
2.835000344708831e+000	3.343409e-007	4.769557e-007	5.882278e-001	3.178779e+000
2.835000354034308e+000	3.425588e-007	4.888877e-007	5.414563e-001	3.175927e+000
2.835000365652546e+000	3.527948e-007	5.037523e-007	4.885552e-001	3.172378e+000
2.835000380398167e+000	3.657828e-007	5.226166e-007	4.291159e-001	3.167878e+000
2.835000398250905e+000	3.815030e-007	5.454545e-007	3.672492e-001	3.162440e+000
2.835000418647289e+000	3.994579e-007	5.715448e-007	3.081261e-001	3.156238e+000
2.835000441021906e+000	4.191484e-007	6.001645e-007	2.550907e-001	3.149448e+000
2.835000464967189e+000	4.402152e-007	6.307923e-007	2.095181e-001	3.142198e+000
2.835000489995015e+000	4.622283e-007	6.628043e-007	1.718061e-001	3.134638e+000
2.835000516375287e+000	4.854246e-007	6.965457e-007	1.407162e-001	3.126689e+000
2.835000543920288e+000	5.096383e-007	7.317766e-007	1.156359e-001	3.118410e+000
2.835000572816414e+000	5.350321e-007	7.687354e-007	9.554213e-002	3.109750e+000
2.835000603023744e+000	5.615697e-007	8.073712e-007	7.968592e-002	3.100722e+000
2.835000634756736e+000	5.894378e-007	8.479583e-007	6.725438e-002	3.091266e+000
2.835000668151252e+000	6.187530e-007	8.906703e-007	5.760353e-002	3.081346e+000
2.835000703558995e+000	6.498205e-007	9.359572e-007	5.014215e-002	3.070863e+000
2.835000741351461e+000	6.829611e-007	9.842942e-007	4.440235e-002	3.059714e+000
2.835000782129031e+000	7.186928e-007	1.036449e-006	3.998652e-002	3.047729e+000
2.835000826614604e+000	7.576353e-007	1.093346e-006	3.658040e-002	3.034708e+000
2.835000851072798e+000	7.790264e-007	1.124628e-006	3.518038e-002	3.027573e+000
2.835000862430894e+000	7.889548e-007	1.139155e-006	3.462058e-002	3.024265e+000
2.835000870119694e+000	7.956738e-007	1.148989e-006	3.426754e-002	3.022028e+000
2.835000877108669e+000	8.017795e-007	1.157928e-006	3.396192e-002	3.019996e+000
2.835000885494312e+000	8.091034e-007	1.168653e-006	3.361217e-002	3.017560e+000
2.835000893211614e+000	8.158415e-007	1.178523e-006	3.330532e-002	3.015319e+000
2.835000900910053e+000	8.225609e-007	1.188370e-006	3.301250e-002	3.013086e+000
2.835000909079071e+000	8.296886e-007	1.198818e-006	3.271521e-002	3.010718e+000
2.835000920627385e+000	8.397603e-007	1.213588e-006	3.231646e-002	3.007374e+000
2.835000932975918e+000	8.505236e-007	1.229382e-006	3.191547e-002	3.003802e+000
2.835000947225600e+000	8.629349e-007	1.247607e-006	3.148188e-002	2.999685e+000
2.835000963274019e+000	8.769003e-007	1.268133e-006	3.102650e-002	2.995055e+000
2.835000982443326e+000	8.935616e-007	1.292650e-006	3.052210e-002	2.989535e+000
2.835001005017868e+000	9.131504e-007	1.321522e-006	2.997482e-002	2.983047e+000
2.835001032336815e+000	9.367997e-007	1.356463e-006	2.936816e-002	2.975214e+000
2.835001064614392e+000	9.646408e-007	1.397745e-006	2.871422e-002	2.965986e+000
2.835001103061608e+000	9.976105e-007	1.446918e-006	2.800409e-002	2.955032e+000
2.835001142225636e+000	1.030891e-006	1.497008e-006	2.733987e-002	2.943915e+000
2.835001179092849e+000	1.061814e-006	1.544160e-006	2.675656e-002	2.933488e+000
2.835001212723071e+000	1.089524e-006	1.587172e-006	2.625203e-002	2.924009e+000
2.835001242033826e+000	1.113116e-006	1.624659e-006	2.582924e-002	2.915772e+000
2.835001266040905e+000	1.131885e-006	1.655363e-006	2.549232e-002	2.909044e+000
2.835001284636676e+000	1.145943e-006	1.679147e-006	2.523588e-002	2.903842e+000
2.835001298610373e+000	1.156124e-006	1.697018e-006	2.504509e-002	2.899940e+000
2.835001310411219e+000	1.164364e-006	1.712111e-006	2.488466e-002	2.896648e+000
2.835001326749012e+000	1.174964e-006	1.733006e-006	2.466226e-002	2.892097e+000
2.835001342137027e+000	1.183842e-006	1.752687e-006	2.445147e-002	2.887818e+000
2.835001361996179e+000	1.193366e-006	1.778086e-006	2.417653e-002	2.882304e+000
2.835001384154939e+000	1.201106e-006	1.806426e-006	2.386566e-002	2.876164e+000
2.835001411798367e+000	1.206183e-006	1.841780e-006	2.347294e-002	2.868523e+000
2.835001445852457e+000	1.205294e-006	1.885333e-006	2.298532e-002	2.859137e+000
2.835001490512286e+000	1.192434e-006	1.942450e-006	2.234799e-002	2.846875e+000
2.835001549570970e+000	1.156489e-006	2.017982e-006	2.152505e-002	2.830741e+000
2.835001634005365e+000	1.072567e-006	2.125967e-006	2.041609e-002	2.807833e+000
2.835001771321585e+000	8.728110e-007	2.301582e-006	1.882176e-002	2.770973e+000
2.835001898828916e+000	6.352882e-007	2.464651e-006	1.757201e-002	2.737180e+000
2.835002022041497e+000	3.736387e-007	2.622224e-006	1.655383e-002	2.704916e+000
2.835002128255062e+000	1.319485e-007	2.758056e-006	1.580438e-002	2.677411e+000
2.835002235270379e+000	-1.196334e-007	2.894912e-006	1.514920e-002	2.649981e+000
2.835002343497589e+000	-3.769288e-007	3.033316e-006	1.457130e-002	2.622527e+000
2.835002491316069e+000	-7.251704e-007	3.222347e-006	1.389260e-002	2.585489e+000
2.835002688137616e+000	-1.171628e-006	3.474038e-006	1.314440e-002	2.536983e+000
2.835002955222024e+000	-1.728611e-006	3.815567e-006	1.234026e-002	2.472613e+000
2.835003229408240e+000	-2.229178e-006	4.166161e-006	1.170053e-002	2.408229e+000
2.835003559265038e+000	-2.727343e-006	4.587915e-006	1.110374e-002	2.332991e+000
2.835003893004917e+000	-3.116713e-006	5.014601e-006	1.063500e-002	2.259262e+000
2.835004272443857e+000	-3.429734e-006	5.499664e-006	1.021626e-002	2.178265e+000
2.835004669310941e+000	-3.627367e-006	6.006936e-006	9.871753e-003	2.096656e+000
2.835005119726131e+000	-3.717748e-006	6.582536e-006	9.565552e-003	2.007737e+000
2.835005595421020e+000	-3.689059e-006	7.190253e-006	9.316563e-003	1.917922e+000
2.835006038154310e+000	-3.571953e-006	7.755603e-006	9.138649e-003	1.837957e+000
2.835006416821522e+000	-3.417298e-006	8.238849e-006	9.019456e-003	1.772230e+000
2.835006756763762e+000	-3.244696e-006	8.672328e-006	8.933377e-003	1.715243e+000
2.835007073945080e+000	-3.060642e-006	9.076340e-006	8.867661e-003	1.663736e+000
2.835007378880419e+000	-2.866741e-006	9.464155e-006	8.815456e-003	1.615684e+000
2.835007697704506e+000	-2.649582e-006	9.868700e-006	8.770369e-003	1.566933e+000
2.835007995880971e+000	-2.435477e-006	1.024577e-005	8.735541e-003	1.522679e+000
2.835008292691121e+000	-2.213649e-006	1.061931e-005	8.706736e-003	1.479875e+000
2.835008572865927e+000	-1.997626e-006	1.096947e-005	8.684047e-003	1.440581e+000
2.835008782527650e+000	-1.832360e-006	1.122925e-005	8.669535e-003	1.411865e+000
2.835008934323660e+000	-1.711017e-006	1.141563e-005	8.660186e-003	1.391436e+000
2.835009041236396e+000	-1.624787e-006	1.154570e-005	8.654130e-003	1.377226e+000
2.835009118296750e+000	-1.562272e-006	1.163861e-005	8.650014e-003	1.367075e+000
2.835009187399760e+000	-1.505971e-006	1.172109e-005	8.646490e-003	1.358036e+000
2.835009283503688e+000	-1.427316e-006	1.183381e-005	8.641835e-003	1.345565e+000
2.835009380799131e+000	-1.347288e-006	1.194493e-005	8.637398e-003	1.333056e+000
2.835009516992967e+000	-1.234642e-006	1.209425e-005	8.631618e-003	1.315740e+000
2.835009644596596e+000	-1.128484e-006	1.222684e-005	8.626630e-003	1.299722e+000
2.835009825860578e+000	-9.767557e-007	1.240221e-005	8.620189e-003	1.277304e+000
2.835010022547428e+000	-8.110061e-007	1.257511e-005	8.613973e-003	1.253417e+000
2.835010301738199e+000	-5.740072e-007	1.279087e-005	8.606349e-003	1.220279e+000
2.835010638518177e+000	-2.858463e-007	1.300960e-005	8.598741e-003	1.181472e+000
2.835011078828899e+000	9.391478e-008	1.323935e-005	8.590901e-003	1.132597e+000
2.835011554812692e+000	5.074485e-007	1.343355e-005	8.584531e-003	1.082043e+000
2.835012013019186e+000	9.077983e-007	1.358363e-005	8.579984e-003	1.035525e+000
2.835012471038985e+000	1.309648e-006	1.371173e-005	8.576607e-003	9.910396e-001
2.835012909163173e+000	1.695210e-006	1.382418e-005	8.574199e-003	9.502923e-001
2.835013349083557e+000	2.083212e-006	1.393518e-005	8.572386e-003	9.110787e-001
2.835013780747539e+000	2.464559e-006	1.404794e-005	8.571047e-003	8.741889e-001
2.835014217064693e+000	2.850491e-006	1.416999e-005	8.570029e-003	8.384333e-001
2.835014650009488e+000	3.233795e-006	1.430201e-005	8.569269e-003	8.044137e-001
2.835015086321163e+000	3.620348e-006	1.444808e-005	8.568691e-003	7.715397e-001
2.835016015273093e+000	4.443971e-006	1.480793e-005	8.567893e-003	7.059962e-001
2.835017154803142e+000	5.454964e-006	1.534492e-005	8.567386e-003	6.332126e-001
2.835017823437509e+000	6.048368e-006	1.570846e-005	8.567223e-003	5.940801e-001
2.835018602037232e+000	6.739465e-006	1.617478e-005	8.567104e-003	5.515739e-001
2.835019479687778e+000	7.518561e-006	1.675248e-005	8.567026e-003	5.073258e-001
2.835020526299877e+000	8.447707e-006	1.750757e-005	8.566977e-003	4.592105e-001
2.835021764065910e+000	9.546598e-006	1.848368e-005	8.566951e-003	4.082034e-001
2.835023316084913e+000	1.092451e-005	1.981774e-005	8.566939e-003	3.522144e-001
2.835025302275627e+000	1.268791e-005	2.167346e-005	8.566936e-003	2.916409e-001
2.835027653840902e+000	1.477570e-005	2.404258e-005	8.566937e-003	2.332958e-001
2.835030267875742e+000	1.709651e-005	2.684458e-005	8.566938e-003	1.821771e-001
2.835032654905803e+000	1.921579e-005	2.952211e-005	8.566939e-003	1.456689e-001
2.835035152614204e+000	2.143332e-005	3.241481e-005	8.566939e-003	1.156276e-001
2.835037455566031e+000	2.347794e-005	3.514524e-005	8.566939e-003	9.381027e-002
2.835040024023380e+000	2.575828e-005	3.824454e-005	8.566939e-003	7.465217e-002
2.835042505338452e+000	2.796125e-005	4.128049e-005	8.566939e-003	6.023055e-002
2.835045282851091e+000	3.042719e-005	4.471564e-005	8.566939e-003	4.775072e-002
2.835047914469887e+000	3.276360e-005	4.799789e-005	8.566939e-003	3.870715e-002
2.835050743476907e+000	3.527525e-005	5.154879e-005	8.566939e-003	3.128097e-002
2.835053413652168e+000	3.764589e-005	5.491663e-005	8.566939e-003	2.595306e-002
2.835056231640084e+000	4.014776e-005	5.848381e-005	8.566939e-003	2.167030e-002
2.835058928511190e+000	4.254209e-005	6.190711e-005	8.566939e-003	1.855863e-002
2.835061727933416e+000	4.502746e-005	6.546794e-005	8.566939e-003	1.610117e-002
2.835064425100459e+000	4.742205e-005	6.890411e-005	8.566939e-003	1.430238e-002
2.835067165436264e+000	4.985497e-005	7.239939e-005	8.566939e-003	1.290884e-002
2.835069801313931e+000	5.219514e-005	7.576443e-005	8.566939e-003	1.188470e-002
2.835072413126254e+000	5.451394e-005	7.910094e-005	8.566939e-003	1.110408e-002
2.835075110734866e+000	5.690891e-005	8.254883e-005	8.566939e-003	1.048474e-002
2.835078131796522e+000	5.959105e-005	8.641172e-005	8.566939e-003	9.960838e-003
2.835081406702851e+000	6.249854e-005	9.060061e-005	8.566939e-003	9.543707e-003
2.835085118789299e+000	6.579416e-005	9.534996e-005	8.566939e-003	9.207691e-003
2.835089201406683e+000	6.941875e-005	1.005745e-004	8.566939e-003	8.955824e-003
